CASEID,OCCUPATION_COL,WORKTYPE_FINAL,SCIENCE_CLASSES,MATH_CLASSES,TALENT,PROVE,RESPECTA,RESPECTB,INTEREST1,STEMJOBA,STEMJOBB,REASON1A,REASON1B,REASON1C,REASON1D,REASON1E,REASON1F,REASON1G,TECH1,TECH2,TECH3,GEND1,GEND2,GEND3,GEND4,GEND5,HARASS1,HARASS2,HARASS3,GENDER,STEM_DEGREE,EDUCATION,INCOME_AVERAGE,AGE-1_CATEGORY,AGE-2_CATEGORY,EMPLOYED
984,2,1,1,1,2,2,2,2,4,1,1,1,1,2,1,2,3,2,1,1,1,1,3,3,2,1,1,1,1,1,1,2,30000.0,25,34,1
985,3,2,1,1,2,2,1,1,6,1,1,1,1,2,3,2,1,2,1,2,2,2,2,2,2,3,2,2,2,2,1,4,100000.0,35,44,1
987,1,1,1,1,2,2,3,3,4,1,3,1,1,2,1,2,2,3,1,3,1,3,1,2,3,3,2,2,1,1,1,4,100000.0,55,64,1
989,20,2,1,1,2,2,1,2,4,1,1,2,3,3,1,2,3,3,2,3,1,2,1,1,2,2,3,2,1,1,1,2,62499.5,45,54,1
990,3,2,0,0,2,2,1,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,2,2,1,1,100000.0,45,54,1
991,1,1,1,1,2,2,2,2,4,3,3,3,3,2,3,3,2,2,3,3,3,3,1,1,3,2,3,3,2,2,1,2,62499.5,45,54,1
993,8,2,0,1,1,3,1,1,1,3,3,2,1,1,1,2,2,1,3,3,2,2,1,1,3,2,2,2,1,1,2,4,100000.0,35,44,1
994,19,2,1,0,2,2,1,2,3,3,2,3,2,3,2,2,3,2,2,2,2,2,1,1,3,3,3,2,2,1,1,1,30000.0,25,34,1
995,12,1,1,0,2,2,1,2,4,1,1,1,1,2,1,2,3,2,2,3,2,2,1,1,3,2,2,2,2,1,1,4,62499.5,65,74,1
996,1,1,1,1,2,2,1,2,4,1,1,3,2,3,3,3,2,1,3,3,3,3,1,1,1,5,3,3,2,2,1,4,87499.5,65,74,1
998,5,1,1,1,1,2,2,2,4,1,1,1,2,3,3,1,3,1,2,2,2,1,1,1,3,3,3,3,2,2,1,4,87499.5,25,34,1
1001,5,1,1,1,1,0,2,3,4,3,3,2,2,3,1,3,3,3,2,1,1,1,2,2,2,2,3,3,2,2,1,3,100000.0,55,64,1
1002,1,1,0,0,1,2,1,2,4,3,3,1,1,1,2,1,2,2,2,3,2,1,2,2,1,5,2,2,1,1,2,4,100000.0,65,74,1
1003,20,2,1,1,2,2,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,5,3,3,2,1,1,2,30000.0,25,34,1
1004,12,1,1,1,2,2,1,1,4,1,1,1,3,1,1,2,3,1,1,1,1,2,2,2,2,1,3,2,2,1,2,4,87499.5,25,34,1
1005,1,1,1,0,1,1,1,1,4,1,3,1,2,1,3,2,1,3,2,3,2,1,1,1,3,2,3,2,2,2,1,4,100000.0,45,54,1
1006,25,2,1,1,2,0,2,1,4,1,3,1,3,2,1,2,3,2,3,3,1,2,1,2,3,2,2,2,2,1,1,3,100000.0,65,74,1
1007,12,1,1,0,2,1,0,2,4,1,1,2,3,2,2,1,1,1,1,2,3,1,1,2,3,3,2,3,2,1,1,3,87499.5,45,54,1
1008,20,2,1,0,2,2,2,1,2,1,1,2,3,2,2,1,2,1,2,1,1,1,1,1,3,2,3,3,2,1,1,3,62499.5,25,34,1
1011,3,2,1,1,2,2,2,2,3,1,1,1,1,2,1,2,2,3,3,3,3,1,1,1,3,2,3,3,2,2,2,3,100000.0,55,64,1
1012,26,3,0,1,2,2,1,2,4,1,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,1,3,3,2,1,2,3,39999.5,65,74,0
1013,1,1,1,0,2,3,1,2,4,1,1,1,1,2,2,3,3,1,2,1,1,1,1,1,3,1,3,2,2,2,1,3,62499.5,25,34,1
1014,2,1,1,1,1,3,2,2,4,1,3,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,4,100000.0,55,64,1
1015,5,1,1,1,1,0,1,1,4,1,3,1,3,3,1,3,3,3,1,2,1,1,1,2,3,1,3,3,2,1,1,4,100000.0,55,64,1
1016,1,1,1,1,2,2,2,1,4,1,3,2,3,2,3,2,3,2,2,3,2,3,1,1,1,4,2,2,2,2,1,2,87499.5,45,54,1
1017,6,2,0,1,1,1,0,2,3,1,3,1,2,1,1,2,3,1,1,3,1,2,1,1,3,1,2,3,2,1,2,3,100000.0,18,24,1
1018,10,2,1,1,2,2,1,2,3,1,3,2,3,3,2,3,2,1,3,3,3,1,1,1,3,3,3,3,2,2,2,4,100000.0,55,64,1
1019,1,1,1,1,2,3,1,1,4,1,3,2,3,3,3,2,2,1,3,2,3,1,3,1,3,3,3,3,2,2,1,3,87499.5,35,44,1
1020,3,2,1,1,2,3,1,2,1,1,1,3,3,3,3,1,3,1,2,3,2,1,1,1,3,2,2,2,2,2,1,3,100000.0,25,34,1
1021,10,2,0,0,2,3,1,1,6,1,1,2,1,2,3,3,1,1,3,3,3,1,1,2,3,4,2,2,2,2,1,2,39999.5,55,64,1
1022,3,2,1,1,1,2,2,1,3,1,1,1,1,2,1,2,3,2,2,1,1,2,1,1,3,3,3,2,1,1,2,3,100000.0,35,44,1
1023,3,2,1,1,2,3,2,2,6,1,1,3,3,3,3,1,2,2,1,3,2,1,1,1,1,3,2,2,2,2,1,4,100000.0,45,54,1
1024,3,2,1,0,1,1,1,2,2,1,3,1,2,1,2,2,1,2,2,2,2,1,1,2,3,3,2,2,2,2,1,2,87499.5,65,74,1
1026,1,1,1,1,1,0,1,1,4,3,3,1,3,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,1,1,100000.0,65,74,1
1027,19,2,1,1,1,1,3,1,4,1,1,3,3,3,3,1,2,1,1,3,2,1,1,1,1,2,3,2,2,2,1,3,87499.5,55,64,1
1028,1,1,1,1,2,2,2,2,4,1,3,2,3,2,3,2,3,2,2,3,3,1,1,1,3,4,3,3,2,2,1,3,100000.0,55,64,1
1029,5,1,1,1,2,2,1,1,4,1,1,2,2,3,1,2,2,2,2,1,2,1,2,3,3,3,2,2,2,1,2,4,100000.0,35,44,1
1030,1,1,1,0,2,0,2,1,4,1,1,3,3,3,1,1,3,2,2,1,1,1,1,3,2,2,2,2,1,1,1,2,39999.5,55,64,1
1031,20,2,1,1,1,0,1,1,6,3,3,3,3,3,1,3,3,3,2,3,1,3,1,1,3,1,3,3,2,2,1,2,62499.5,35,44,1
1032,1,1,1,1,2,1,2,2,4,1,1,3,1,3,1,3,1,2,2,1,2,3,2,2,3,3,3,3,2,1,2,3,100000.0,45,54,1
1033,9,1,1,1,1,2,1,1,4,1,2,1,2,1,1,3,3,3,1,1,1,3,1,1,3,1,2,2,2,1,1,4,100000.0,55,64,1
1034,10,2,1,0,2,2,1,2,2,1,1,1,3,2,1,2,3,2,2,3,2,2,1,1,3,2,3,3,2,1,2,3,100000.0,65,74,1
1035,25,2,0,1,2,3,2,2,4,3,3,2,2,1,1,3,2,2,2,1,1,3,1,1,3,3,3,3,2,2,2,3,100000.0,25,34,1
1036,3,2,1,1,2,2,2,3,2,3,3,2,2,2,2,2,2,1,3,3,2,3,1,1,3,4,3,3,2,2,2,4,87499.5,45,54,1
1037,19,2,0,1,3,2,1,2,4,1,1,2,2,2,2,2,2,2,3,2,3,3,1,1,3,3,3,3,2,1,1,1,100000.0,45,54,1
1039,10,2,1,1,1,3,1,1,3,3,3,1,3,3,1,3,1,2,3,3,1,2,1,1,3,2,2,2,1,2,1,4,62499.5,25,34,1
1040,3,2,1,0,1,3,3,1,2,1,3,2,3,3,2,2,3,2,2,1,2,3,1,1,3,2,3,3,2,2,1,1,87499.5,45,54,1
1041,12,1,1,1,1,3,1,1,4,1,2,1,2,3,1,1,3,1,3,1,1,2,1,1,3,2,3,2,2,1,1,2,87499.5,55,64,1
1043,10,2,1,0,3,3,2,2,2,3,1,2,2,3,3,2,2,3,2,3,2,3,1,1,3,4,2,2,2,2,2,3,62499.5,45,54,1
1044,25,2,1,0,2,3,2,2,4,1,1,2,2,2,2,2,2,2,3,2,1,3,2,2,3,3,2,2,2,2,1,1,39999.5,55,64,1
1045,5,1,0,0,1,0,1,2,4,1,3,2,2,1,1,2,3,1,1,1,1,2,1,3,2,1,1,1,1,1,2,3,87499.5,35,44,1
1046,22,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,3,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,100000.0,25,34,1
1047,8,1,1,0,1,2,1,1,4,3,3,1,3,2,3,2,2,2,2,3,2,2,1,1,3,3,2,3,2,2,2,3,100000.0,45,54,1
1049,25,2,0,0,2,2,1,1,4,1,2,3,2,3,2,3,2,1,3,3,2,2,1,1,1,1,2,3,2,1,2,3,100000.0,45,54,1
1050,12,1,1,1,2,2,1,1,4,1,1,1,1,1,3,2,2,1,1,3,1,3,1,1,3,2,3,3,2,1,1,4,100000.0,35,44,1
1051,13,1,1,1,4,1,3,3,4,1,3,3,3,3,3,3,3,3,2,2,3,2,1,1,3,1,2,2,1,1,1,3,62499.5,25,34,1
1052,5,1,0,0,2,3,2,3,4,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,1,3,100000.0,35,44,1
1053,25,2,0,0,3,0,0,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,4,3,3,2,2,1,1,87499.5,45,54,1
1055,5,1,1,1,3,2,2,2,4,3,1,2,3,1,2,3,3,3,2,1,1,1,1,1,3,2,3,2,2,2,1,3,100000.0,35,44,1
1057,4,2,1,0,3,3,2,1,4,1,1,3,1,3,1,2,3,1,1,3,1,1,2,2,2,1,1,1,2,1,1,1,100000.0,45,54,1
1058,10,2,0,0,4,0,1,1,6,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,5,3,3,2,2,2,3,87499.5,35,44,1
1059,22,2,0,0,3,3,3,3,2,2,1,1,1,1,2,1,1,1,2,2,3,1,2,2,2,1,2,1,2,2,1,2,100000.0,45,54,1
1060,1,1,1,1,2,1,2,1,4,1,1,2,2,2,1,2,1,2,1,1,1,3,2,2,1,2,2,1,2,1,1,4,100000.0,55,64,1
1061,1,1,1,0,1,3,2,2,4,3,2,1,1,1,1,1,3,2,1,1,1,1,2,3,2,1,2,1,1,1,1,2,87499.5,55,64,1
1062,12,1,1,1,1,3,1,1,4,1,1,1,2,2,1,3,2,3,2,3,1,3,1,1,3,2,2,2,2,1,1,4,87499.5,65,74,1
1063,12,1,1,1,1,3,2,2,4,1,3,1,1,2,1,3,2,1,2,3,2,2,1,1,3,1,2,3,2,2,1,3,87499.5,45,54,1
1064,1,1,1,1,2,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,2,2,1,2,100000.0,55,64,1
1065,11,1,1,1,1,2,1,2,4,1,1,1,1,1,1,1,2,1,2,1,1,3,2,2,2,1,3,3,2,1,1,4,100000.0,45,54,1
1066,3,2,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,2,2,1,1,62499.5,45,54,1
1067,5,1,1,1,2,2,3,3,4,1,3,3,3,3,3,3,3,3,3,3,2,3,1,1,3,3,3,3,2,1,1,3,100000.0,25,34,1
1068,4,2,1,1,1,0,2,1,4,1,1,2,3,3,1,1,3,1,2,1,1,3,1,1,3,1,3,3,2,2,1,1,100000.0,55,64,1
1069,12,1,1,1,2,3,1,1,4,1,3,2,3,3,2,3,3,2,3,3,3,3,1,1,3,2,2,2,2,1,1,3,100000.0,55,64,1
1070,1,1,1,1,2,0,3,1,4,1,2,2,2,3,2,1,1,2,2,3,3,2,1,1,3,3,3,3,2,2,1,3,100000.0,35,44,1
1072,11,1,1,0,1,2,2,2,4,1,1,1,2,3,2,2,3,1,3,3,3,2,1,1,3,3,3,3,2,1,1,4,100000.0,25,34,1
1073,4,2,1,0,1,2,3,3,4,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,3,2,2,2,2,2,1,2,39999.5,35,44,1
1074,25,2,1,0,1,2,2,1,4,1,1,1,1,1,1,1,2,1,3,1,1,3,1,1,2,1,3,3,2,1,2,3,100000.0,18,24,1
1075,5,1,1,1,1,1,2,2,4,1,1,3,3,3,3,3,3,3,2,3,2,2,2,3,2,1,3,2,2,1,1,3,100000.0,45,54,1
1076,5,1,1,0,2,2,3,3,4,1,2,3,3,3,3,3,2,3,3,3,2,1,1,1,3,3,3,3,2,2,2,2,39999.5,35,44,1
1077,10,2,5,1,1,0,3,1,4,1,3,2,3,2,3,2,1,3,1,3,3,3,1,1,1,5,3,3,2,2,1,3,100000.0,45,54,1
1078,3,2,1,1,3,2,3,2,3,1,3,2,2,2,2,2,3,3,2,1,1,2,1,1,3,2,3,3,2,2,2,3,100000.0,45,54,1
1080,25,2,1,1,4,2,1,2,2,3,3,3,3,2,3,1,3,3,2,3,2,2,1,1,3,1,3,3,1,1,2,4,100000.0,55,64,1
1081,25,2,1,1,4,0,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,30000.0,25,34,1
1082,25,2,1,1,1,2,2,2,3,1,3,1,1,1,1,2,3,2,2,1,1,2,1,1,3,1,3,2,2,2,2,3,100000.0,35,44,1
1083,1,1,1,1,1,1,2,0,4,2,2,3,2,3,3,3,3,3,1,1,3,2,3,3,1,5,1,1,1,2,1,4,100000.0,35,44,1
1084,10,2,0,0,2,2,1,2,2,1,3,1,2,1,2,1,2,2,3,2,2,1,1,1,3,3,3,2,2,1,2,3,87499.5,45,54,1
1085,1,1,1,1,2,3,2,2,4,1,3,1,1,2,1,2,3,1,2,1,1,1,1,2,3,2,2,3,2,2,1,3,62499.5,55,64,1
1086,1,1,1,1,1,1,0,1,4,3,3,1,3,1,1,2,3,3,2,3,1,1,2,2,3,1,1,1,1,2,1,2,87499.5,55,64,1
1087,5,1,1,1,1,3,1,1,4,2,2,1,1,3,2,3,2,1,2,2,2,1,1,1,3,4,3,3,2,2,1,3,62499.5,65,74,1
1089,25,2,1,1,3,3,0,0,4,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,2,2,1,1,39999.5,18,24,1
1090,1,1,1,1,1,3,2,2,4,1,1,1,3,3,1,3,3,1,2,2,2,1,1,2,2,1,3,2,2,2,1,2,87499.5,65,74,1
1091,4,2,1,1,2,2,2,3,6,1,1,3,2,2,2,1,1,3,2,1,2,2,1,1,1,2,3,2,1,2,2,3,100000.0,35,44,1
1094,1,1,1,1,3,0,1,2,4,1,3,1,1,2,3,2,3,3,2,3,2,2,1,2,3,3,2,1,1,2,1,3,100000.0,25,34,1
1095,1,1,1,1,2,3,2,2,4,3,1,1,3,2,1,2,3,2,2,3,1,2,1,1,3,3,3,3,2,2,1,2,39999.5,45,54,1
1097,3,2,1,1,1,2,1,1,3,3,3,2,2,2,1,3,3,2,3,3,2,3,1,1,3,1,1,1,2,2,1,1,100000.0,35,44,1
1098,10,2,1,1,2,0,1,1,4,3,3,1,3,2,1,2,3,3,2,1,1,2,1,1,3,2,3,2,2,2,2,4,100000.0,35,44,1
1099,12,1,5,5,2,2,3,1,4,1,3,2,2,2,1,2,3,2,2,2,2,2,1,1,3,2,3,3,1,1,1,4,100000.0,25,34,1
1101,4,2,1,1,2,2,1,2,4,1,1,2,1,3,3,2,1,3,2,3,2,1,1,1,3,2,3,2,2,2,2,4,100000.0,55,64,1
1102,1,1,1,1,2,3,2,2,4,1,1,1,1,2,3,2,2,2,2,3,2,3,1,1,3,2,3,3,2,1,1,2,87499.5,45,54,1
1103,2,1,1,1,2,2,2,2,4,1,1,1,1,2,1,2,3,2,1,1,1,3,1,1,3,1,3,2,2,1,1,4,100000.0,55,64,1
1104,1,1,0,1,1,3,1,1,4,1,3,1,1,3,2,2,2,2,2,3,2,1,1,1,3,2,3,2,2,1,1,3,100000.0,55,64,1
1105,10,2,1,0,3,3,1,1,4,1,3,1,3,2,1,3,3,3,1,1,1,2,1,1,3,1,3,2,1,1,1,2,87499.5,18,24,1
1106,12,1,1,1,2,2,2,2,4,1,1,2,3,2,2,2,3,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,87499.5,25,34,1
1107,20,2,1,1,2,0,1,2,3,1,1,2,3,2,2,2,3,3,2,2,2,2,1,1,3,2,3,3,2,1,1,2,87499.5,45,54,1
1108,12,1,1,1,1,1,2,3,4,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,4,87499.5,55,64,1
1109,1,1,1,0,2,0,1,2,4,1,1,3,3,3,2,2,2,3,3,3,2,2,1,1,3,3,3,2,2,2,1,4,100000.0,55,64,1
1111,3,2,1,1,1,2,1,2,3,1,3,2,3,3,2,3,3,1,3,3,3,1,1,1,3,2,3,3,2,1,2,4,87499.5,65,74,1
1112,2,1,1,1,2,3,2,2,4,1,3,2,2,2,2,2,2,2,2,3,2,2,1,1,3,3,3,3,2,2,1,4,62499.5,25,34,1
1113,1,1,1,0,2,2,2,2,4,1,3,2,3,2,2,3,3,3,3,3,2,3,1,1,1,2,3,2,1,2,1,2,87499.5,45,54,1
1114,1,1,1,1,1,0,0,0,4,1,1,2,3,3,3,3,2,3,3,3,3,1,1,1,3,5,3,3,2,2,1,3,100000.0,55,64,1
1115,9,1,1,1,3,2,1,2,4,3,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,4,2,3,2,1,1,4,62499.5,45,54,1
1116,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,1,2,3,87499.5,25,34,1
1117,12,1,1,1,1,3,2,2,4,1,1,2,1,3,3,2,2,1,3,2,2,2,1,1,3,3,2,2,2,2,1,4,39999.5,55,64,1
1118,12,1,1,1,1,2,2,2,4,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,3,1,3,3,2,1,1,3,39999.5,55,64,1
1119,12,1,1,1,1,1,1,1,4,1,3,1,3,2,1,3,3,2,2,3,1,3,1,1,1,5,2,2,2,1,1,4,100000.0,45,54,1
1121,9,1,1,1,2,1,2,2,4,2,2,3,2,3,3,1,3,2,2,3,2,3,1,1,3,3,3,2,2,2,1,4,100000.0,55,64,1
1122,1,1,1,1,2,2,1,2,4,3,3,1,2,2,2,1,2,3,2,1,2,1,1,1,3,3,3,2,2,2,1,2,62499.5,55,64,1
1123,9,1,1,1,2,1,3,3,4,1,2,1,2,3,2,2,3,1,2,1,2,1,2,3,2,1,3,2,2,2,1,4,62499.5,45,54,1
1124,1,1,1,1,1,2,2,2,4,1,1,1,3,2,1,2,3,2,2,1,2,1,1,1,3,1,3,1,1,2,1,2,39999.5,25,34,1
1125,14,2,1,0,2,2,3,2,4,1,3,2,3,2,2,2,2,2,2,3,2,2,1,1,3,2,3,3,2,1,1,1,39999.5,18,24,1
1126,5,1,1,1,1,3,0,0,4,2,2,3,3,3,3,3,3,3,2,2,3,1,1,3,2,4,3,3,2,2,1,2,62499.5,45,54,1
1128,10,2,1,1,3,0,1,2,6,1,3,2,2,2,2,2,3,2,2,1,1,1,1,1,3,3,3,2,2,2,1,3,62499.5,25,34,1
1129,4,2,1,1,2,3,2,2,1,2,2,1,2,3,1,1,1,2,1,1,3,1,1,1,3,3,3,3,2,2,1,3,100000.0,25,34,1
1130,1,1,1,1,2,2,2,2,4,1,1,3,3,3,2,1,2,1,1,3,2,3,1,1,3,2,2,2,2,2,2,4,87499.5,25,34,1
1131,3,2,0,1,2,3,2,2,3,3,3,1,2,2,3,2,1,2,1,3,3,3,1,1,3,5,3,3,1,2,2,3,100000.0,25,34,1
1135,8,2,0,0,1,1,2,1,4,1,3,1,1,1,1,3,3,1,2,1,1,2,1,1,3,2,2,2,1,1,2,4,87499.5,55,64,1
1137,1,1,1,1,1,3,1,1,4,1,1,1,2,1,2,2,1,3,3,2,2,1,1,1,3,5,2,2,2,2,1,4,100000.0,65,74,1
1138,1,1,1,1,2,3,1,1,4,1,3,2,1,2,1,3,1,2,2,3,2,2,1,1,3,3,3,3,2,2,1,2,100000.0,65,74,1
1139,5,1,1,1,2,3,1,2,4,3,3,2,3,3,2,2,2,1,3,3,2,1,1,1,3,4,3,3,2,2,1,3,87499.5,55,64,1
1141,12,1,0,0,2,1,1,2,4,3,3,1,1,1,1,3,3,2,2,3,1,2,1,1,3,5,3,3,2,1,1,2,62499.5,35,44,1
1142,16,2,1,1,4,3,2,2,1,1,3,2,3,2,3,2,2,2,2,3,2,3,1,1,3,4,3,3,2,2,1,1,100000.0,18,24,1
1143,20,2,1,0,1,2,1,2,4,1,1,2,2,2,1,1,3,2,2,1,1,1,1,1,3,3,1,1,2,1,1,3,87499.5,25,34,1
1144,6,2,1,1,2,2,1,1,4,1,3,1,3,2,1,3,3,2,2,3,1,2,1,1,3,1,2,2,1,1,1,2,30000.0,35,44,1
1145,9,1,1,1,2,2,2,2,4,1,3,1,2,1,1,1,3,3,2,1,1,3,1,1,3,2,3,2,2,2,1,4,87499.5,45,54,1
1146,12,1,1,1,1,2,1,1,4,1,1,1,2,2,1,3,2,2,2,1,1,2,1,1,3,1,3,3,2,1,1,4,87499.5,55,64,1
1147,5,1,1,1,2,2,2,1,4,3,3,1,3,1,2,1,2,3,2,3,2,1,1,2,2,2,2,2,2,2,1,4,62499.5,45,54,1
1148,26,3,0,1,2,2,1,2,4,1,2,1,2,1,1,1,3,2,2,1,1,2,1,1,3,1,3,3,2,2,2,3,100000.0,65,74,0
1149,13,1,1,1,4,2,0,2,4,1,1,2,3,3,1,1,3,1,2,1,2,2,1,3,3,1,2,2,1,1,1,2,87499.5,45,54,1
1150,12,1,1,1,2,2,2,2,4,1,1,1,3,1,2,2,2,1,2,2,2,3,2,2,1,2,1,1,1,2,2,3,87499.5,45,54,1
1151,14,2,1,1,2,1,3,3,4,1,3,1,3,2,1,2,2,2,1,1,1,2,2,2,3,2,1,3,1,1,1,2,100000.0,25,34,1
1152,26,3,1,1,2,2,1,2,4,1,3,3,3,3,2,3,3,2,2,3,2,2,1,1,3,4,3,3,2,1,1,2,87499.5,65,74,0
1153,1,1,0,0,3,3,1,2,4,1,1,3,1,1,1,3,1,1,2,1,1,2,1,2,3,2,3,2,1,1,1,3,62499.5,45,54,1
1156,19,2,1,0,1,3,3,3,4,1,1,1,3,3,3,3,1,2,2,3,2,3,1,2,3,3,3,3,2,1,1,1,30000.0,45,54,1
1157,1,1,1,1,2,2,1,2,4,1,3,1,2,1,1,2,3,1,1,1,1,3,1,1,3,1,1,1,2,2,1,2,30000.0,25,34,1
1158,10,2,0,0,2,3,1,1,4,3,3,3,3,3,3,3,3,2,3,3,3,3,1,1,3,2,3,3,2,1,1,2,100000.0,45,54,1
1160,4,2,1,1,2,2,1,2,6,1,3,3,3,3,2,2,3,2,2,3,2,3,1,1,3,2,3,3,2,1,2,3,100000.0,35,44,1
1161,19,2,1,1,2,3,1,1,1,1,1,3,3,3,2,2,3,2,3,2,3,2,1,1,3,2,3,3,2,2,1,2,30000.0,45,54,1
1162,19,2,0,0,1,1,1,3,4,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,5,3,3,2,2,1,1,87499.5,25,34,1
1163,13,1,0,0,4,1,3,3,4,1,1,3,3,3,3,3,3,3,3,3,3,2,1,1,3,5,3,3,2,1,1,2,39999.5,55,64,1
1164,1,1,1,1,4,0,1,1,4,1,1,2,3,2,1,2,2,1,2,1,1,2,1,1,3,2,3,3,2,1,1,3,62499.5,65,74,1
1165,19,2,0,0,3,2,2,3,2,1,1,1,3,2,2,3,3,1,2,3,2,3,1,1,3,4,3,3,2,2,1,1,62499.5,65,74,1
1166,12,1,1,0,3,2,1,1,4,1,1,1,1,3,1,1,3,1,2,1,2,2,1,1,3,1,3,3,1,1,1,2,87499.5,55,64,1
1168,11,1,1,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,3,3,3,2,2,1,4,100000.0,55,64,1
1169,2,1,1,1,1,0,0,1,4,2,3,3,3,3,3,1,3,1,1,3,3,3,1,1,1,3,3,3,2,2,1,4,62499.5,45,54,1
1171,1,1,1,1,1,2,1,2,4,2,2,1,2,2,1,3,3,1,2,3,2,3,2,2,3,3,2,2,2,2,1,4,62499.5,35,44,1
1172,9,1,1,1,1,2,2,2,4,1,3,1,1,1,1,2,3,2,1,1,1,2,1,1,3,2,2,2,1,1,1,4,87499.5,55,64,1
1174,25,2,1,1,3,0,3,3,4,2,2,3,2,2,2,2,2,3,1,1,1,1,2,2,1,4,3,3,2,2,1,2,100000.0,55,64,1
1175,4,2,1,1,2,3,2,2,4,1,1,1,1,1,1,1,1,1,3,3,2,3,1,2,3,3,2,3,2,1,2,2,100000.0,55,64,1
1176,12,1,0,0,1,3,2,2,4,1,1,3,3,3,3,3,3,1,3,3,3,2,1,1,3,3,3,3,2,1,1,2,62499.5,35,44,1
1177,12,1,1,0,3,1,2,3,4,1,3,2,1,2,1,2,2,1,3,1,2,2,2,2,2,3,3,3,2,1,1,3,100000.0,35,44,1
1178,15,2,1,1,1,1,1,1,1,1,1,1,3,2,3,2,1,2,3,3,3,1,1,1,1,4,3,3,2,2,2,3,100000.0,35,44,1
1179,12,1,1,0,1,1,1,2,4,1,3,1,1,1,3,2,3,3,3,3,3,3,1,1,3,3,2,2,2,1,1,4,100000.0,65,74,1
1180,10,2,1,1,1,3,1,1,6,1,1,2,2,3,3,2,2,3,2,3,2,3,1,2,3,4,3,3,2,1,2,4,100000.0,55,64,1
1183,23,2,1,0,1,3,1,2,3,1,3,1,3,3,1,2,2,1,3,3,2,1,1,1,3,2,3,2,2,2,1,1,39999.5,55,64,1
1184,12,1,1,1,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,2,1,1,3,100000.0,35,44,1
1185,16,2,0,1,1,1,3,2,6,3,3,3,3,3,3,3,3,3,1,3,1,1,2,2,3,2,3,3,2,2,1,1,87499.5,35,44,1
1186,1,1,1,1,2,0,2,2,4,3,3,3,3,3,2,3,3,2,3,3,3,1,1,1,3,5,3,3,2,2,1,2,100000.0,45,54,1
1188,8,1,0,1,2,2,2,1,4,1,1,1,1,1,1,1,1,1,2,3,1,2,1,2,2,2,2,2,2,1,1,4,100000.0,35,44,1
1189,1,1,1,0,2,3,2,2,4,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,3,3,2,2,2,3,62499.5,35,44,1
1190,5,1,1,0,2,3,2,2,4,1,3,2,2,2,3,1,1,2,2,3,3,1,1,1,1,4,3,2,2,2,1,2,87499.5,35,44,1
1192,25,2,1,0,3,2,1,2,1,1,1,1,3,3,3,2,2,1,3,2,2,1,1,1,3,5,3,3,2,2,1,1,100000.0,55,64,1
1193,4,2,1,1,4,2,2,2,2,3,3,1,2,2,2,1,2,2,1,3,3,1,1,1,3,2,2,2,2,2,2,3,100000.0,25,34,1
1194,1,1,1,1,1,1,2,1,4,1,1,2,3,3,2,3,3,2,1,1,1,1,1,3,2,1,3,2,1,1,1,4,100000.0,55,64,1
1195,26,3,1,0,2,2,1,2,4,3,1,1,1,1,1,1,3,2,1,3,1,2,1,1,3,2,3,3,2,1,1,1,100000.0,55,64,0
1196,8,2,1,0,2,2,1,2,1,1,1,3,2,1,1,2,3,2,2,1,2,2,2,1,3,3,2,2,1,1,1,1,39999.5,35,44,1
1197,4,2,1,1,2,3,1,2,2,1,1,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,3,2,1,2,3,39999.5,45,54,1
1198,12,1,1,0,1,2,1,2,4,1,1,1,1,2,1,1,2,2,2,2,1,2,2,3,3,1,1,3,1,1,1,4,39999.5,55,64,1
